00:40:18 [INF] (Synchronizer.sync:58) Syncing... (FROM: D:\zsyncsource TO: D:\zsynctarget)
00:40:18 [INF] (CopyFileVisitor.<init>:39) Source dir: D:\zsyncsource Target dir: D:\zsynctarget
00:40:18 [DBG] (CopyFileVisitor.preVisitDirectory:47) Incoming dir: 
00:40:18 [DBG] (CopyFileVisitor.preVisitDirectory:47) Incoming dir: dabr
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\.htaccess
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\.project
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\about.html
00:40:18 [DBG] (CopyFileVisitor.preVisitDirectory:47) Incoming dir: dabr\browsers
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\bigtouch.css
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\bigtouch.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\blackberry.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\desktop.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\list.csv
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\text.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\touch.css
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\touch.js
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\touch.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\browsers\worksafe.php
00:40:18 [DBG] (CopyFileVisitor.preVisitDirectory:47) Incoming dir: dabr\common
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\advert.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\Autolink.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\browser.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\Embedly.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\Extractor.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\HitHighlighter.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\lists.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\menu.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\OAuth.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\Regex.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\settings.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\theme.php
